ddbid,year,mean,std
2cd4p9h.vf6,1949.5,0.767,0.173
2cd4p9h.vf6,1993,0.481,0.123
2cd4p9h.vf6,2004.5,0.398,0.113
2cd4p9h.vf6,2014.5,0.424,0.116
