ddbid,gradient,intercept
2cd4p9h.4n0,0.00106875221647273,-1.82931603640772
2cd4p9h.4n0,0.000856764488135469,-1.41350184896074
2cd4p9h.4n0,0.0010172420791519,-1.736287223841
2cd4p9h.4n0,0.000968941769001873,-1.63710505366516
2cd4p9h.4n0,0.000874019475313813,-1.43921058236891
2cd4p9h.4n0,0.000560457707839111,-0.824996668898848
2cd4p9h.4n0,0.000339599093188722,-0.386038605429698
2cd4p9h.4n0,0.000557360096931722,-0.813036199059046
2cd4p9h.4n0,0.000573338687169918,-0.84942050724749
2cd4p9h.4n0,0.00105183945137331,-1.79343246830878
2cd4p9h.4n0,0.000844661842384374,-1.3893354523703
2cd4p9h.4n0,0.000771047346093393,-1.24704814220184
2cd4p9h.4n0,0.000741894954504097,-1.18924065869497
2cd4p9h.4n0,0.000942007929387358,-1.58244888749836
2cd4p9h.4n0,0.000636283218595873,-0.96309162750835
2cd4p9h.4n0,0.000760893707254866,-1.21601171367651
2cd4p9h.4n0,0.000734145649320063,-1.16692241201548
2cd4p9h.4n0,0.00103663470694019,-1.76988101186243
2cd4p9h.4n0,0.000842482187278768,-1.38773521144276
2cd4p9h.4n0,0.000663114864879793,-1.02228380409537
2cd4p9h.4n0,0.000793865650271759,-1.28167590147041
2cd4p9h.4n0,0.000638683134819389,-0.967189403987702
2cd4p9h.4n0,0.000506907288409875,-0.708585567470075
2cd4p9h.4n0,0.00104006413300872,-1.77268113505059
2cd4p9h.4n0,0.000835455165305956,-1.37842953295046
2cd4p9h.4n0,0.000837980106564104,-1.36644604444017
2cd4p9h.4n0,0.000826219754525658,-1.35481706709085
2cd4p9h.4n0,0.000802478216011973,-1.30263831655293
2cd4p9h.4n0,0.0006552171288426,-1.01160054109606
2cd4p9h.4n0,0.00070175444825699,-1.10626936316044
2cd4p9h.4n0,0.00064761486917205,-0.995567566489007
2cd4p9h.4n0,0.000905542306431091,-1.51292629362966
2cd4p9h.4n0,0.000576818822354303,-0.861731910991385
2cd4p9h.4n0,0.000727373786479149,-1.15109262355233
2cd4p9h.4n0,0.000638875324092355,-0.986641565172998
2cd4p9h.4n0,0.000698371963169614,-1.10446262086792
2cd4p9h.4n0,0.000564619114354389,-0.822903623037378
2cd4p9h.4n0,0.00095010157531836,-1.60138058711651
2cd4p9h.4n0,0.00096123306261636,-1.62122797917147
2cd4p9h.4n0,0.000848323707716922,-1.40350234028324
2cd4p9h.4n0,0.000110848816867807,0.0774268196766371
2cd4p9h.4n0,0.000853509789666031,-1.40720715955712
2cd4p9h.4n0,0.000539438162343056,-0.772745259916559
