ddbid,gradient,intercept
2cd4p9h.18c,-0.00676585736774531,13.9435951504005
2cd4p9h.18c,-0.00703191653217084,14.3977643280617
2cd4p9h.18c,-0.00156408591278831,3.50835166711552
2cd4p9h.18c,0.00132011207555384,-2.10203284151406
2cd4p9h.18c,-0.0071171542524749,14.6278860120252
2cd4p9h.18c,-0.00661853039476392,13.6447187669178
2cd4p9h.18c,-0.00155931222302024,3.72743325940589
2cd4p9h.18c,-0.00412066450215486,8.65604863193741
2cd4p9h.18c,-0.00751445392683917,15.366793928616
2cd4p9h.18c,-0.0114555712090663,23.1805180628913
2cd4p9h.18c,-0.00299330227573411,6.39066201314109
2cd4p9h.18c,-0.00970246084875188,19.9514510519218
2cd4p9h.18c,-0.00946467108583285,19.3021912984144
2cd4p9h.18c,-0.0120334688135413,24.3637415229249
2cd4p9h.18c,-0.00205733297325802,4.57775738806047
2cd4p9h.18c,-0.00347930153170123,7.22666454632547
2cd4p9h.18c,-0.00965934100484687,19.6238971492151
2cd4p9h.18c,-0.0100834361449249,20.4985546524258
2cd4p9h.18c,-0.00371609203809178,7.79062030090224
2cd4p9h.18c,-0.00806188563377339,16.4021560463199
2cd4p9h.18c,-0.00620413189366324,12.9928429238245
2cd4p9h.18c,-0.00334339094441973,7.05974924955521
2cd4p9h.18c,-0.00757453378859924,15.6204194278933
2cd4p9h.18c,-0.00372208587869729,7.87357147956621
2cd4p9h.18c,-0.00709769730188659,14.7152912511759
2cd4p9h.18c,-0.00454591410925962,9.5970175435553
2cd4p9h.18c,0.000258303255086188,0.090649592685471
2cd4p9h.18c,0.000195957863585746,-0.0329205623936126
2cd4p9h.18c,-0.0024604924462667,5.35530858188916
2cd4p9h.18c,-0.0109029670265335,22.1552261498388
2cd4p9h.18c,-0.0124156638449086,25.2274491559697
2cd4p9h.18c,-0.0134471509216729,27.2520148924023
2cd4p9h.18c,-0.00704272751834325,14.5286803064893
2cd4p9h.18c,-0.00497966789899441,10.3915078665082
2cd4p9h.18c,-0.00350587463389194,7.5080111618035
2cd4p9h.18c,-0.00530484285594432,11.1034473883154
