ddbid,year,x5,x50,x95
2cd4p9h.x66,1949,0.358217725,0.374466268,0.389171967
2cd4p9h.x66,1950,0.358115314,0.373936305,0.387886486
2cd4p9h.x66,1951,0.358005738,0.373496084,0.386952935
2cd4p9h.x66,1952,0.35767181,0.373106437,0.386193943
2cd4p9h.x66,1953,0.357342057,0.37271679,0.385489097
2cd4p9h.x66,1954,0.357012304,0.372327142,0.384921532
2cd4p9h.x66,1955,0.356794871,0.372080673,0.384167722
2cd4p9h.x66,1956,0.356788785,0.371547848,0.38360013
2cd4p9h.x66,1957,0.356782699,0.371234424,0.383032538
2cd4p9h.x66,1958,0.356777433,0.370776082,0.382396232
2cd4p9h.x66,1959,0.356780251,0.370289927,0.381849072
2cd4p9h.x66,1960,0.35678307,0.369675812,0.381301913
2cd4p9h.x66,1961,0.356785888,0.369254874,0.380745248
2cd4p9h.x66,1962,0.356788706,0.368897295,0.3801777
2cd4p9h.x66,1963,0.356783971,0.368434931,0.379610152
2cd4p9h.x66,1964,0.35668156,0.368052261,0.379118939
2cd4p9h.x66,1965,0.356481134,0.367610238,0.378578479
2cd4p9h.x66,1966,0.35593316,0.367387899,0.377993518
2cd4p9h.x66,1967,0.355411436,0.366912902,0.377481356
2cd4p9h.x66,1968,0.354941839,0.366365296,0.376942002
2cd4p9h.x66,1969,0.354330305,0.366071363,0.376402648
2cd4p9h.x66,1970,0.353821287,0.365798505,0.375857564
2cd4p9h.x66,1971,0.353437828,0.365581782,0.375311493
2cd4p9h.x66,1972,0.353251712,0.365315192,0.374765422
2cd4p9h.x66,1973,0.352305511,0.364884114,0.374219351
2cd4p9h.x66,1974,0.351857291,0.364496672,0.37367328
2cd4p9h.x66,1975,0.351599177,0.36410923,0.373127209
2cd4p9h.x66,1976,0.351341429,0.363598969,0.372581138
2cd4p9h.x66,1977,0.350780393,0.363217698,0.372035067
2cd4p9h.x66,1978,0.350821482,0.362892776,0.371525816
2cd4p9h.x66,1979,0.35086351,0.362455121,0.371103621
2cd4p9h.x66,1980,0.350906511,0.362019905,0.370681426
2cd4p9h.x66,1981,0.350950516,0.361630217,0.370161036
2cd4p9h.x66,1982,0.350995558,0.361228004,0.369620693
2cd4p9h.x66,1983,0.35099875,0.360810111,0.36908035
2cd4p9h.x66,1984,0.350928317,0.360492368,0.368612763
2cd4p9h.x66,1985,0.350859021,0.360018539,0.368476214
2cd4p9h.x66,1986,0.350731749,0.359754014,0.36819459
2cd4p9h.x66,1987,0.350397066,0.359274947,0.367793647
2cd4p9h.x66,1988,0.350063619,0.358662343,0.367392704
2cd4p9h.x66,1989,0.349731441,0.358180467,0.366991762
2cd4p9h.x66,1990,0.349400563,0.357772826,0.366590819
2cd4p9h.x66,1991,0.34907102,0.357500251,0.36618407
2cd4p9h.x66,1992,0.348742844,0.357265406,0.365768592
2cd4p9h.x66,1993,0.348416069,0.356957582,0.365353114
2cd4p9h.x66,1994,0.348090711,0.35639071,0.364937636
2cd4p9h.x66,1995,0.347766732,0.356048667,0.364522158
2cd4p9h.x66,1996,0.347444077,0.355856429,0.364366278
2cd4p9h.x66,1997,0.347099852,0.355513617,0.364298554
2cd4p9h.x66,1998,0.346779694,0.35520518,0.36423083
2cd4p9h.x66,1999,0.346449747,0.354906586,0.364163105
2cd4p9h.x66,2000,0.347090669,0.354492213,0.363919006
2cd4p9h.x66,2001,0.346886893,0.354076241,0.363766123
2cd4p9h.x66,2002,0.346377214,0.353990332,0.364006617
2cd4p9h.x66,2003,0.345716906,0.353743807,0.363924194
2cd4p9h.x66,2004,0.345124509,0.353499588,0.36338741
2cd4p9h.x66,2005,0.344537987,0.353252516,0.362829089
2cd4p9h.x66,2006,0.344058902,0.353052497,0.36226916
2cd4p9h.x66,2007,0.343705248,0.352745254,0.361709232
2cd4p9h.x66,2008,0.343351595,0.352606371,0.361149304
2cd4p9h.x66,2009,0.342997941,0.352372882,0.361428047
2cd4p9h.x66,2010,0.342644287,0.352154308,0.360949678
2cd4p9h.x66,2011,0.342125137,0.351916018,0.360797766
2cd4p9h.x66,2012,0.341577083,0.351686185,0.361865932
2cd4p9h.x66,2013,0.341029029,0.351355195,0.36213989
2cd4p9h.x66,2014,0.340480975,0.351104774,0.362896403
2cd4p9h.x66,2015,0.339932921,0.350951782,0.363376988
2cd4p9h.x66,2016,0.339384867,0.350727591,0.363369934
2cd4p9h.x66,2017,0.338836813,0.350392519,0.363327795
2cd4p9h.x66,2018,0.338288759,0.350067659,0.363274606
2cd4p9h.x66,2019,0.337740705,0.349769003,0.363513576
