taxon,week,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Small Tortoiseshell,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,4,1,3,5,5,7,2
Small Tortoiseshell,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,3,4,8,3
Small Tortoiseshell,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,1,5,9,3
Small Tortoiseshell,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,2,4,2,2,8,4
Small Tortoiseshell,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,4,3,4
Small Tortoiseshell,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,15,4,5,3,12,15,4
Small Tortoiseshell,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,8,8,35,2,0
Small Tortoiseshell,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,5,11,26,5,231,5,0
Small Tortoiseshell,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,13,18,3,6,1,376,7,0
Small Tortoiseshell,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,191,129,10,84,3,21,37,0
Small Tortoiseshell,11,0,0,0,3,0,1,0,1,0,1,2,1,1,1,0,0,0,1,0,1,0,1,5,1,222,56,97,275,49,10,114,0
Small Tortoiseshell,12,2,1,0,0,0,0,0,0,1,0,3,0,0,2,1,3,0,0,2,8,0,13,10,5,61,167,98,99,45,269,357,0
Small Tortoiseshell,13,2,10,8,0,1,9,8,28,8,11,10,11,49,43,64,15,15,13,1,5,0,7,31,4,144,51,156,646,171,722,982,0
Small Tortoiseshell,14,79,10,80,20,13,214,41,325,107,191,35,57,279,218,259,167,98,139,120,152,96,16,7,45,741,1221,495,1053,479,455,708,0
Small Tortoiseshell,15,32,86,313,75,34,257,122,398,59,117,183,57,153,164,334,128,101,176,65,96,356,35,11,93,1142,1608,555,988,541,538,1555,0
Small Tortoiseshell,16,31,39,168,142,49,78,145,272,42,33,90,28,193,269,536,142,199,138,64,145,106,21,4,334,1333,1616,755,453,1408,1446,953,0
Small Tortoiseshell,17,80,69,78,85,107,123,282,128,250,155,83,63,192,126,563,147,294,117,172,94,12,30,8,329,580,917,221,391,322,651,965,0
Small Tortoiseshell,18,85,22,169,130,103,145,51,242,199,172,158,121,85,79,213,132,283,96,127,44,75,20,18,360,727,355,387,436,577,411,205,0
Small Tortoiseshell,19,36,56,133,95,97,65,121,33,235,57,184,135,83,90,171,79,234,16,172,47,80,5,3,251,242,344,654,433,553,339,482,0
Small Tortoiseshell,20,23,35,173,43,56,27,158,124,183,42,129,94,71,36,207,61,44,28,87,12,84,5,7,102,579,387,348,210,401,491,209,0
Small Tortoiseshell,21,29,39,96,42,10,61,76,59,43,36,33,97,30,21,112,31,52,36,58,34,31,9,30,125,285,268,185,276,220,311,405,0
Small Tortoiseshell,22,29,21,35,20,22,37,80,89,35,23,29,33,53,41,60,39,50,36,38,52,16,11,25,150,345,133,161,269,140,104,1775,0
Small Tortoiseshell,23,37,10,22,23,10,32,130,176,11,12,29,25,12,157,81,41,66,43,41,84,37,16,6,77,660,252,184,463,113,231,1284,0
