taxon,week,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Small Tortoiseshell,24,96,8,48,24,13,101,56,322,10,29,30,18,52,406,124,13,47,85,33,197,150,19,8,31,1173,343,109,1164,177,222,2664,0
Small Tortoiseshell,25,93,16,151,45,17,211,26,294,28,30,47,8,162,555,322,48,36,92,24,217,69,20,19,67,1855,601,303,1299,634,839,2161,0
Small Tortoiseshell,26,121,9,373,59,29,360,72,171,74,44,73,13,234,510,433,118,63,112,74,68,91,50,22,305,1653,1186,547,1050,1375,1172,2377,0
Small Tortoiseshell,27,113,18,388,64,62,470,146,382,137,84,90,49,199,361,591,95,163,129,108,161,714,193,20,953,2175,1504,871,1487,1874,1379,1339,0
Small Tortoiseshell,28,178,49,353,92,132,494,353,351,208,117,93,226,222,367,486,178,448,240,112,339,589,187,48,1659,2049,1557,578,840,1126,1229,1837,0
Small Tortoiseshell,29,193,99,489,104,180,398,511,384,302,134,276,300,233,224,524,152,332,192,126,251,236,74,47,1481,1737,1450,1325,720,570,1496,1277,0
Small Tortoiseshell,30,120,167,286,103,119,282,411,297,331,136,265,311,124,359,396,119,244,181,257,255,191,264,194,965,1524,628,636,426,390,1479,980,0
Small Tortoiseshell,31,145,195,230,97,89,223,333,291,199,79,251,210,131,775,289,124,136,143,92,152,195,106,62,629,1279,706,366,468,273,1049,1126,0
Small Tortoiseshell,32,133,131,121,66,114,380,310,488,193,74,160,112,140,832,149,159,118,115,92,255,282,75,167,762,1276,635,480,615,361,536,1180,0
Small Tortoiseshell,33,124,162,225,96,232,430,292,606,61,91,137,110,390,782,165,144,104,56,101,159,304,87,80,931,1033,576,611,665,240,755,930,0
Small Tortoiseshell,34,183,149,249,63,266,314,288,754,59,143,138,132,500,507,150,182,161,191,111,185,134,111,130,1270,869,450,652,685,310,1416,1088,0
Small Tortoiseshell,35,157,254,262,110,234,233,263,666,88,168,134,203,416,397,199,206,116,158,146,67,135,48,116,1108,613,566,915,859,399,923,713,0
Small Tortoiseshell,36,103,480,269,112,279,104,376,595,88,194,139,256,361,242,270,170,150,147,76,11,172,12,63,512,563,537,485,405,244,729,546,0
Small Tortoiseshell,37,96,442,161,75,159,104,265,384,72,198,178,283,291,171,115,120,115,102,209,36,141,10,28,246,312,415,479,279,114,631,653,0
Small Tortoiseshell,38,35,393,185,114,104,61,211,277,122,99,87,187,148,158,94,52,68,51,224,2,77,4,11,215,194,290,277,300,64,505,563,0
Small Tortoiseshell,39,54,176,140,58,80,29,156,117,58,46,91,137,116,102,56,30,49,31,130,2,1,5,11,236,154,333,116,180,223,105,159,0
Small Tortoiseshell,40,0,22,13,0,5,1,1,6,0,3,8,13,10,5,9,0,2,9,12,2,7,6,8,44,53,103,45,34,30,79,96,0
Small Tortoiseshell,41,6,2,0,0,1,3,0,2,0,0,0,5,2,10,1,0,3,2,1,3,11,0,6,16,25,48,17,19,55,24,39,0
Small Tortoiseshell,42,0,0,1,0,0,0,2,0,0,0,1,1,0,6,1,0,0,1,0,2,1,1,1,13,13,18,11,27,41,36,30,0
Small Tortoiseshell,43,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,7,9,15,9,49,24,22,21,0
Small Tortoiseshell,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,19,19,7,17,9,9,8,0
Small Tortoiseshell,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,4,3,3,7,3,2,27,0
Small Tortoiseshell,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,3,3,3,4,3,11,2,8,0
Small Tortoiseshell,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,1,1,6,10,0
Small Tortoiseshell,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,2,1,5,5,3,0
Small Tortoiseshell,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,3,12,3,2,0
Small Tortoiseshell,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,12,0,1,0
Small Tortoiseshell,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,7,0,4,0
Small Tortoiseshell,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,2,3,6,1,0
Small Tortoiseshell,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,3,6,0
