Taxon,Latitude,week
Ochlodes sylvanus,53.36458808,28
Ochlodes sylvanus,53.35560005,27
Ochlodes sylvanus,53.30085814,31
Ochlodes sylvanus,53.44627045,32
Ochlodes sylvanus,53.45599913,27
Ochlodes sylvanus,53.45599913,31
Ochlodes sylvanus,53.45599913,28
Ochlodes sylvanus,53.45599913,29
Ochlodes sylvanus,53.35576036,29
Ochlodes sylvanus,53.33736945,28
Ochlodes sylvanus,53.32846815,28
Ochlodes sylvanus,53.38264529,32
Ochlodes sylvanus,53.40113691,29
Ochlodes sylvanus,53.51762158,27
Ochlodes sylvanus,53.51746413,27
Ochlodes sylvanus,53.33808188,28
Ochlodes sylvanus,53.33808188,26
Ochlodes sylvanus,53.32071708,32
Ochlodes sylvanus,53.41037812,27
Ochlodes sylvanus,53.41037812,27
Ochlodes sylvanus,53.41037812,27
Ochlodes sylvanus,53.41043664,27
Ochlodes sylvanus,53.41043664,27
Ochlodes sylvanus,53.56278303,28
Ochlodes sylvanus,53.32086375,28
Ochlodes sylvanus,53.40144838,28
Ochlodes sylvanus,53.45478185,30
Ochlodes sylvanus,53.32855295,28
Ochlodes sylvanus,53.32855295,27
Ochlodes sylvanus,53.32855295,25
Ochlodes sylvanus,53.32855295,30
Ochlodes sylvanus,53.46405375,24
Ochlodes sylvanus,53.51891752,27
Ochlodes sylvanus,53.46498752,28
Ochlodes sylvanus,53.45599913,28
Ochlodes sylvanus,53.33762393,27
Ochlodes sylvanus,53.45599913,27
Ochlodes sylvanus,53.48885675,29
Ochlodes sylvanus,53.32076785,28
Ochlodes sylvanus,53.32076785,29
Ochlodes sylvanus,53.32066441,28
Ochlodes sylvanus,53.32066441,29
Ochlodes sylvanus,53.35560005,26
Ochlodes sylvanus,53.35560005,24
Ochlodes sylvanus,53.51798192,24
Ochlodes sylvanus,53.4376658,29
Ochlodes sylvanus,53.4376658,27
Ochlodes sylvanus,53.51712641,28
Ochlodes sylvanus,53.38280197,26
Ochlodes sylvanus,53.40998719,26
Ochlodes sylvanus,53.51798192,24
Ochlodes sylvanus,53.30114626,31
Ochlodes sylvanus,53.51798192,24
Ochlodes sylvanus,53.35560005,24
Ochlodes sylvanus,53.33778414,25
Ochlodes sylvanus,53.32855295,25
Ochlodes sylvanus,53.43702141,27
Ochlodes sylvanus,53.33778414,27
Ochlodes sylvanus,53.31956488,27
Ochlodes sylvanus,53.42803331,27
