"hectad","tetrad","to 1929","1930 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","hectadstatus"
"C01","C01N",0,0,0,1,0,1,"n"
"C01","C01U",1,0,0,0,0,0,"n"
"C10","C10K",0,0,0,1,0,0,"n"
"C10","C10Q",0,0,0,1,0,0,"n"
"C10","C10V",0,0,0,1,1,1,"n"
"C10","C10W",0,0,0,1,0,0,"n"
"C12","C12X",1,1,0,1,1,1,"n"
"C20","C20A",0,0,0,1,0,0,"n"
"C20","C20F",0,0,0,1,0,0,"n"
"C22","C22A",0,0,0,0,1,0,"n"
"G95","G95B",0,0,0,1,1,1,"n"
"G95","G95C",0,0,0,1,0,1,"n"
"G95","G95F",0,1,0,0,1,1,"n"
"G95","G95G",1,1,1,1,1,1,"n"
"G95","G95J",0,0,0,0,1,0,"n"
"H03","H03P",0,0,0,1,1,0,"n"
"H03","H03T",0,0,0,1,0,0,"n"
"H03","H03U",0,1,1,1,1,1,"n"
"H09","H09P",1,0,1,0,0,0,"n"
"H19","H19H",0,0,0,0,0,1,"n"
"NC01","NC01W",0,0,1,0,0,0,"n"
"NC01","NC01X",0,0,0,0,0,1,"n"
"NC02","NC02M",0,0,0,1,0,0,"n"
"NC02","NC02N",0,0,0,1,1,0,"n"
"NC02","NC02P",0,0,0,1,0,1,"n"
"NC02","NC02S",0,0,0,1,0,1,"n"
"NC02","NC02U",0,0,1,1,0,0,"n"
"NC02","NC02V",0,0,0,1,0,0,"n"
"NC02","NC02W",0,0,0,1,1,0,"n"
"NC02","NC02X",0,0,0,1,0,0,"n"
"NC03","NC03F",0,0,0,1,0,0,"n"
"NC03","NC03K",0,0,0,1,0,1,"n"
"NC03","NC03L",0,0,0,1,0,0,"n"
"NC03","NC03Q",0,0,0,1,0,0,"n"
"NC03","NC03V",0,0,0,1,0,0,"n"
"NC10","NC10R",0,0,0,0,0,1,"n"
"NC11","NC11D",0,0,0,1,0,0,"n"
"NC11","NC11P",0,0,0,1,0,0,"n"
"NC11","NC11S",0,0,0,1,0,0,"n"
"NC11","NC11T",0,0,0,1,0,0,"n"
"NC11","NC11U",0,0,0,1,0,0,"n"
"NC11","NC11W",0,0,0,1,1,0,"n"
"NC11","NC11Y",0,0,0,1,0,0,"n"
"NC11","NC11Z",0,0,0,1,0,0,"n"
"NC12","NC12A",0,0,0,1,0,0,"n"
"NC12","NC12B",0,0,0,0,0,1,"n"
"NC12","NC12F",0,0,0,1,0,1,"n"
"NC12","NC12G",0,0,0,1,1,0,"n"
"NC12","NC12H",0,0,0,1,0,0,"n"
"NC12","NC12K",0,0,0,1,0,0,"n"
"NC12","NC12L",0,0,0,1,0,0,"n"
"NC12","NC12M",0,0,0,1,0,1,"n"
"NC12","NC12N",0,0,0,1,0,0,"n"
"NC12","NC12P",0,0,0,1,1,0,"n"
"NC12","NC12Q",0,0,0,1,0,0,"n"
"NC12","NC12R",0,0,0,1,0,0,"n"
"NC12","NC12S",0,0,0,1,1,0,"n"
"NC12","NC12U",0,0,0,1,0,0,"n"
"NC12","NC12V",0,0,0,1,0,0,"n"
"NC12","NC12W",0,0,0,1,0,0,"n"
"NC12","NC12X",0,0,0,1,0,0,"n"
