week,type,50,51,52,53,54,55,56,57,58,59,60
1,density,0.0023,0.0016,0.0015,0.0014,0.0016,0.001,0.0005,0.0005,0.0026,0,0
2,density,0.0057,0.0043,0.004,0.0035,0.0041,0.002,0.0014,0.0018,0.0069,0,0
3,density,0.006,0.005,0.0044,0.004,0.005,0.002,0.002,0.0028,0.0085,0,0
4,density,0.006,0.005,0.005,0.0045,0.0062,0.0021,0.002,0.003,0.0093,0,0
5,density,0.0064,0.005,0.0052,0.0054,0.0075,0.003,0.002,0.0022,0.01,0,0
6,density,0.0067,0.005,0.0056,0.006,0.0082,0.003,0.0018,0.0018,0.009,0,0
7,density,0.0087,0.0063,0.0073,0.0077,0.0108,0.0033,0.0029,0.002,0.0108,0,0
8,density,0.0103,0.0074,0.0082,0.0081,0.013,0.003,0.0036,0.002,0.0124,0,0
9,density,0.0132,0.0092,0.0094,0.0093,0.0146,0.0037,0.004,0.0024,0.0125,0,0
10,density,0.0164,0.0119,0.0111,0.011,0.0155,0.0059,0.0045,0.0035,0.011,0,0
11,density,0.0188,0.0148,0.0128,0.0136,0.0165,0.0101,0.0055,0.0049,0.01,0,0
12,density,0.0207,0.019,0.015,0.0168,0.0188,0.0165,0.0078,0.0074,0.0105,0,0
13,density,0.0238,0.025,0.0191,0.0216,0.0223,0.0237,0.0105,0.0106,0.0132,0,0
14,density,0.0293,0.0329,0.0256,0.0283,0.0268,0.0299,0.016,0.0154,0.0178,0.0026,0
15,density,0.0354,0.0409,0.0333,0.0358,0.0335,0.0342,0.0252,0.022,0.0247,0.0093,0
16,density,0.0397,0.0484,0.0405,0.043,0.0415,0.0394,0.0354,0.03,0.0329,0.0171,0
17,density,0.0425,0.0549,0.0475,0.0492,0.0493,0.0465,0.0436,0.0383,0.0395,0.0214,0
18,density,0.045,0.0589,0.0529,0.0552,0.0554,0.0528,0.05,0.045,0.0449,0.0218,0
19,density,0.046,0.0595,0.0554,0.0593,0.0589,0.0564,0.0566,0.0509,0.0508,0.0192,0
20,density,0.0453,0.0572,0.0548,0.0597,0.0593,0.0582,0.062,0.0572,0.0569,0.0196,0
21,density,0.0396,0.0494,0.0486,0.052,0.0517,0.054,0.0588,0.0563,0.055,0.0301,0.0002
22,density,0.0452,0.0527,0.054,0.0548,0.0547,0.0617,0.0669,0.0648,0.0613,0.0576,0.0048
23,density,0.0465,0.0509,0.054,0.0515,0.0522,0.0614,0.0665,0.0643,0.0589,0.0797,0.0143
24,density,0.047,0.0496,0.0544,0.0488,0.051,0.0598,0.065,0.0628,0.0572,0.0884,0.0176
25,density,0.0478,0.0481,0.055,0.0471,0.0517,0.059,0.0614,0.0614,0.0557,0.0959,0.0115
26,density,0.048,0.046,0.0543,0.047,0.0528,0.0593,0.0584,0.0616,0.0517,0.0991,0.0112
27,density,0.0471,0.0441,0.0526,0.0483,0.0523,0.0595,0.058,0.063,0.0477,0.0863,0.0389
28,density,0.0483,0.0427,0.0516,0.0497,0.0508,0.0579,0.0579,0.0614,0.047,0.0776,0.1029
29,density,0.0501,0.0421,0.0508,0.05,0.048,0.0566,0.0558,0.0553,0.0476,0.0829,0.2248
30,density,0.051,0.043,0.0495,0.0486,0.0454,0.0545,0.0527,0.0505,0.0474,0.0921,0.3604
31,density,0.051,0.0438,0.0482,0.0459,0.044,0.0499,0.051,0.0515,0.0459,0.0836,0.3635
32,density,0.0497,0.0434,0.0466,0.0434,0.0434,0.0447,0.0519,0.0541,0.0432,0.0675,0.2137
33,density,0.048,0.042,0.0447,0.043,0.0425,0.0417,0.0513,0.0558,0.0402,0.0507,0.0549
34,density,0.0455,0.0403,0.0424,0.0439,0.042,0.0396,0.0498,0.0558,0.0381,0.0383,0.0014
35,density,0.0425,0.0383,0.0392,0.0435,0.0419,0.0365,0.0466,0.0522,0.038,0.0378,0
36,density,0.038,0.0363,0.0359,0.0413,0.0395,0.0332,0.042,0.0446,0.0374,0.044,0
37,density,0.03,0.031,0.0301,0.0345,0.0309,0.027,0.0329,0.0337,0.0318,0.0401,0
38,density,0.03,0.0324,0.0317,0.0345,0.0282,0.0274,0.0311,0.0329,0.0319,0.0421,0
39,density,0.0281,0.0294,0.0287,0.03,0.0227,0.0242,0.026,0.0289,0.0271,0.0414,0
40,density,0.0268,0.0251,0.024,0.025,0.0182,0.0212,0.0222,0.0236,0.0227,0.0364,0
41,density,0.0248,0.0211,0.0196,0.02,0.0148,0.0188,0.019,0.018,0.019,0.0238,0
42,density,0.0211,0.018,0.016,0.0158,0.0132,0.016,0.0155,0.0144,0.0176,0.0099,0
