Taxon,Latitude,week
Callophrys rubi,53.9054609,19
Callophrys rubi,54.06717807,17
Callophrys rubi,53.86054884,20
Callophrys rubi,53.86052209,20
Callophrys rubi,53.32081674,19
Callophrys rubi,53.45599913,18
Callophrys rubi,53.46498752,18
Callophrys rubi,53.4469787,22
Callophrys rubi,53.38368675,20
Callophrys rubi,53.45599913,20
Callophrys rubi,53.38368675,19
Callophrys rubi,53.46498752,21
Callophrys rubi,53.41043664,19
Callophrys rubi,53.41043664,19
Callophrys rubi,53.43795638,18
Callophrys rubi,53.3746475,21
Callophrys rubi,53.41986648,20
Callophrys rubi,53.32975631,22
Callophrys rubi,53.32060985,19
Callophrys rubi,53.32066441,19
Callophrys rubi,53.32071708,19
Callophrys rubi,53.42001346,19
Callophrys rubi,53.45593314,18
Callophrys rubi,53.44694477,18
Callophrys rubi,53.45596709,18
Callophrys rubi,53.4469787,18
Callophrys rubi,53.45599913,22
Callophrys rubi,53.44701074,19
Callophrys rubi,53.4379903,18
Callophrys rubi,53.45599913,18
Callophrys rubi,53.46501768,20
Callophrys rubi,53.46495546,19
Callophrys rubi,53.39267511,22
Callophrys rubi,53.46498752,18
Callophrys rubi,53.46495546,21
Callophrys rubi,53.3746475,19
Callophrys rubi,53.46495546,23
Callophrys rubi,53.45596709,19
Callophrys rubi,53.34762963,20
Callophrys rubi,53.34768235,19
Callophrys rubi,53.32066441,21
Callophrys rubi,53.32066441,19
Callophrys rubi,53.32066441,22
Callophrys rubi,53.4376658,23
Callophrys rubi,53.58186553,21
Callophrys rubi,54.05823766,22
Callophrys rubi,53.33709797,17
Callophrys rubi,53.50048324,19
Callophrys rubi,53.51891752,21
Callophrys rubi,54.22009849,22
Callophrys rubi,54.09385952,22
Callophrys rubi,54.04830081,20
Callophrys rubi,53.79691333,19
Callophrys rubi,53.31953531,23
Callophrys rubi,54.09943345,23
Callophrys rubi,53.89582788,18
Callophrys rubi,54.31849291,23
Callophrys rubi,54.19220588,23
Callophrys rubi,54.19670916,23
Callophrys rubi,54.19490689,22
Callophrys rubi,54.18949996,22
Callophrys rubi,54.19399354,24
Callophrys rubi,54.19220588,23
Callophrys rubi,54.11784574,21
Callophrys rubi,54.11784574,18
Callophrys rubi,54.37344942,23
Callophrys rubi,54.10102054,23
Callophrys rubi,54.10102054,23
Callophrys rubi,54.10102054,21
Callophrys rubi,53.46543833,23
Callophrys rubi,54.03766056,26
Callophrys rubi,54.39437953,23
Callophrys rubi,54.29630461,23
Callophrys rubi,54.03766056,25
Callophrys rubi,54.03309088,25
Callophrys rubi,54.31579704,23
Callophrys rubi,54.03309088,24
Callophrys rubi,54.08855803,23
Callophrys rubi,54.31488787,23
Callophrys rubi,54.08586257,23
Callophrys rubi,54.31849291,22
Callophrys rubi,54.08675955,21
Callophrys rubi,54.31849291,20
Callophrys rubi,54.43073947,18
Callophrys rubi,54.08586257,17
Callophrys rubi,54.08316641,17
Callophrys rubi,54.08855732,17
Callophrys rubi,54.43397782,17
Callophrys rubi,53.90231085,16
Callophrys rubi,53.89581255,16
Callophrys rubi,54.10102054,23
Callophrys rubi,54.10102054,22
Callophrys rubi,54.10190819,22
Callophrys rubi,54.10102054,21
Callophrys rubi,54.10102054,20
Callophrys rubi,54.10102054,19
Callophrys rubi,54.09920968,21
Callophrys rubi,54.37080433,20
Callophrys rubi,54.29467136,20
Callophrys rubi,53.36272483,23
Callophrys rubi,53.35636109,23
Callophrys rubi,53.36082236,23
Callophrys rubi,54.03221786,22
Callophrys rubi,54.03309088,22
Callophrys rubi,54.08945732,22
Callophrys rubi,53.89671132,22
Callophrys rubi,53.77215966,22
Callophrys rubi,53.57381292,22
Callophrys rubi,54.0339895,22
Callophrys rubi,53.57381292,21
Callophrys rubi,53.57560935,21
Callophrys rubi,53.5773258,21
Callophrys rubi,54.08945732,21
Callophrys rubi,54.0339895,21
Callophrys rubi,53.89581255,19
Callophrys rubi,53.99598568,18
Callophrys rubi,53.75599611,17
Callophrys rubi,54.0031731,17
Callophrys rubi,54.18317917,23
Callophrys rubi,53.49926498,30
Callophrys rubi,53.49836625,30
Callophrys rubi,53.57381292,23
Callophrys rubi,53.57381292,20
Callophrys rubi,53.57994028,20
Callophrys rubi,54.03311648,24
Callophrys rubi,54.10102054,24
Callophrys rubi,54.10102054,23
Callophrys rubi,54.10102054,22
Callophrys rubi,54.10013239,21
Callophrys rubi,54.10102054,23
Callophrys rubi,54.10102054,22
Callophrys rubi,54.10102054,21
Callophrys rubi,54.10102054,20
Callophrys rubi,54.10102054,19
Callophrys rubi,54.03309088,26
Callophrys rubi,53.57381292,25
Callophrys rubi,54.0403818,25
Callophrys rubi,54.31579704,21
Callophrys rubi,54.29467136,20
Callophrys rubi,53.77127246,21
Callophrys rubi,53.76857853,21
Callophrys rubi,53.76768051,21
Callophrys rubi,53.74701239,21
Callophrys rubi,53.57381292,21
Callophrys rubi,53.76859288,21
Callophrys rubi,53.77576381,20
Callophrys rubi,53.77215966,20
Callophrys rubi,54.02981077,20
Callophrys rubi,54.31488787,20
Callophrys rubi,54.31579704,20
Callophrys rubi,54.31849291,20
Callophrys rubi,54.0849637,20
Callophrys rubi,54.08855823,20
Callophrys rubi,54.08945732,20
Callophrys rubi,54.08586257,20
Callophrys rubi,54.08316641,20
Callophrys rubi,53.77756628,20
Callophrys rubi,53.77846739,20
Callophrys rubi,54.18317917,20
Callophrys rubi,54.18498161,20
Callophrys rubi,54.31579704,20
Callophrys rubi,54.31488787,18
Callophrys rubi,54.30949612,18
Callophrys rubi,54.31579704,18
Callophrys rubi,54.03764784,20
Callophrys rubi,54.08855823,20
Callophrys rubi,54.08945732,20
Callophrys rubi,54.08586257,20
Callophrys rubi,54.08316641,20
Callophrys rubi,53.52474553,17
Callophrys rubi,53.52474232,17
Callophrys rubi,53.45010264,20
Callophrys rubi,53.45101166,20
Callophrys rubi,53.48887709,18
Callophrys rubi,53.57381292,18
Callophrys rubi,54.03221786,17
Callophrys rubi,53.89671924,16
Callophrys rubi,53.88978262,16
Callophrys rubi,54.06125638,18
Callophrys rubi,54.06035072,18
Callophrys rubi,54.28174629,31
Callophrys rubi,54.20442545,20
Callophrys rubi,54.20710947,20
Callophrys rubi,54.0849637,20
Callophrys rubi,54.08586257,20
Callophrys rubi,53.91955708,20
Callophrys rubi,53.91955708,16
Callophrys rubi,53.5311275,19
Callophrys rubi,53.53022867,19
Callophrys rubi,53.5338266,19
Callophrys rubi,53.53202894,19
Callophrys rubi,53.53113011,19
Callophrys rubi,53.53023128,19
Callophrys rubi,53.53382918,19
Callophrys rubi,53.53383175,19
Callophrys rubi,53.53293292,19
Callophrys rubi,53.53293547,19
Callophrys rubi,53.53113781,19
Callophrys rubi,53.532938,19
Callophrys rubi,53.53294051,19
Callophrys rubi,53.53114285,19
Callophrys rubi,53.532943,19
Callophrys rubi,53.532943,19
Callophrys rubi,53.5338443,19
Callophrys rubi,53.53204664,19
Callophrys rubi,53.53384675,19
Callophrys rubi,53.31931331,21
Callophrys rubi,53.789218,19
Callophrys rubi,53.77127246,19
Callophrys rubi,54.03669818,24
Callophrys rubi,54.03764785,22
Callophrys rubi,54.03309088,21
Callophrys rubi,54.03764785,21
Callophrys rubi,53.96354889,20
Callophrys rubi,54.0849637,19
Callophrys rubi,54.08676091,19
Callophrys rubi,54.08945732,19
Callophrys rubi,54.08586257,19
Callophrys rubi,54.08316641,19
Callophrys rubi,54.08586257,18
Callophrys rubi,54.10102054,23
Callophrys rubi,54.10102054,21
Callophrys rubi,53.31767302,21
Callophrys rubi,54.03764785,25
Callophrys rubi,54.03311648,22
Callophrys rubi,54.03309088,22
Callophrys rubi,54.03311648,23
Callophrys rubi,54.03221786,23
Callophrys rubi,54.03309088,23
Callophrys rubi,54.03766056,20
Callophrys rubi,54.26432825,23
Callophrys rubi,54.26434439,23
Callophrys rubi,54.26444083,23
Callophrys rubi,54.26359028,23
Callophrys rubi,53.94924872,21
Callophrys rubi,53.99778297,18
Callophrys rubi,54.08855823,19
Callophrys rubi,54.08676091,19
Callophrys rubi,54.08586257,19
Callophrys rubi,54.08316641,19
Callophrys rubi,53.3239359,19
Callophrys rubi,54.04220434,18
Callophrys rubi,54.0307094,26
Callophrys rubi,53.46544142,21
Callophrys rubi,53.46182403,20
Callophrys rubi,53.53018732,20
Callophrys rubi,53.48789666,17
Callophrys rubi,53.49599873,17
Callophrys rubi,53.49689756,17
Callophrys rubi,53.50232645,19
Callophrys rubi,53.47342625,23
Callophrys rubi,53.47254554,23
Callophrys rubi,53.46895731,23
Callophrys rubi,53.46898162,23
Callophrys rubi,53.48786391,17
Callophrys rubi,53.33740874,22
Callophrys rubi,53.33471221,21
Callophrys rubi,53.33291452,21
Callophrys rubi,53.33832232,21
Callophrys rubi,53.43574797,18
Callophrys rubi,53.4609284,20
Callophrys rubi,53.46453011,19
Callophrys rubi,53.32212342,18
Callophrys rubi,53.32571384,18
Callophrys rubi,53.44173658,21
Callophrys rubi,53.44923057,24
Callophrys rubi,53.44923707,24
Callophrys rubi,54.42422542,24
Callophrys rubi,54.33479826,21
Callophrys rubi,54.08316641,21
Callophrys rubi,54.44062371,20
Callophrys rubi,54.08586257,19
Callophrys rubi,54.54915138,20
Callophrys rubi,54.54915138,21
Callophrys rubi,54.54915138,20
Callophrys rubi,54.54915138,19
Callophrys rubi,54.10102054,22
Callophrys rubi,54.38842584,21
Callophrys rubi,54.39025036,17
Callophrys rubi,54.39026405,17
Callophrys rubi,54.08855823,22
Callophrys rubi,54.08586257,22
Callophrys rubi,53.54742304,25
Callophrys rubi,53.96431447,24
Callophrys rubi,54.02706539,22
Callophrys rubi,54.39025036,20
Callophrys rubi,54.38842584,20
Callophrys rubi,54.38842584,18
Callophrys rubi,54.08676091,23
Callophrys rubi,54.08676091,21
Callophrys rubi,54.08586257,21
Callophrys rubi,54.0849637,20
Callophrys rubi,54.08676091,20
Callophrys rubi,54.08855823,20
Callophrys rubi,54.09035591,20
Callophrys rubi,54.08945732,20
Callophrys rubi,54.08586257,20
Callophrys rubi,54.08316641,20
Callophrys rubi,53.43445808,20
Callophrys rubi,54.0822678,20
Callophrys rubi,54.0849637,20
Callophrys rubi,54.08676091,20
Callophrys rubi,54.08945732,20
Callophrys rubi,54.08586257,20
Callophrys rubi,54.0849637,18
Callophrys rubi,54.08945732,18
Callophrys rubi,54.08316641,18
Callophrys rubi,54.38936774,16
Callophrys rubi,54.10101836,23
Callophrys rubi,54.0849637,22
Callophrys rubi,54.39026405,22
Callophrys rubi,54.39026405,21
Callophrys rubi,54.09035591,23
Callophrys rubi,54.08945732,18
Callophrys rubi,54.08316641,18
Callophrys rubi,53.9072401,19
Callophrys rubi,54.45765947,19
Callophrys rubi,54.18861111,17
Callophrys rubi,53.78924167,22
Callophrys rubi,54.04527778,22
Callophrys rubi,53.375523,20
Callophrys rubi,53.917988,18
Callophrys rubi,54.31402,23
