Taxon,Latitude,week
Aglais urticae,54.18078291,15
Aglais urticae,53.76705479,12
Aglais urticae,53.90811931,36
Aglais urticae,53.851907,25
Aglais urticae,53.75259088,28
Aglais urticae,54.47778917,17
Aglais urticae,53.32687759,29
Aglais urticae,54.22746,30
Aglais urticae,53.5589783,26
Aglais urticae,53.50794418,26
Aglais urticae,54.309591,35
Aglais urticae,53.98502744,25
Aglais urticae,53.64430987,24
Aglais urticae,54.17412176,29
Aglais urticae,53.95370432,26
Aglais urticae,53.75330691,41
Aglais urticae,53.75330691,41
Aglais urticae,53.75330691,41
Aglais urticae,53.40808183,42
Aglais urticae,53.40797026,42
Aglais urticae,53.30123852,42
Aglais urticae,53.44445956,42
Aglais urticae,53.75330691,41
Aglais urticae,53.75330691,41
Aglais urticae,53.75330691,40
Aglais urticae,53.75330691,39
Aglais urticae,53.75330691,39
Aglais urticae,53.75330691,38
Aglais urticae,53.75330691,38
Aglais urticae,53.75330691,35
Aglais urticae,53.75330691,37
Aglais urticae,54.15238,35
Aglais urticae,53.75330691,35
Aglais urticae,53.75330691,34
Aglais urticae,53.75330691,34
Aglais urticae,53.75330691,35
Aglais urticae,53.89778116,34
Aglais urticae,53.75330691,34
Aglais urticae,53.36575896,29
Aglais urticae,53.35677055,29
Aglais urticae,53.75330691,34
Aglais urticae,53.75330691,33
Aglais urticae,53.75330691,33
Aglais urticae,53.75330691,33
Aglais urticae,53.75330691,32
Aglais urticae,53.75330691,31
Aglais urticae,53.75330691,30
Aglais urticae,53.75330691,30
Aglais urticae,53.89778116,30
Aglais urticae,53.75330691,29
Aglais urticae,53.75330691,29
Aglais urticae,53.75330691,29
Aglais urticae,53.68906594,29
Aglais urticae,53.75330691,28
Aglais urticae,53.89778116,29
Aglais urticae,53.75330691,28
Aglais urticae,54.06615398,27
Aglais urticae,54.12040594,27
Aglais urticae,54.02408935,27
Aglais urticae,54.03307452,27
Aglais urticae,53.75330691,27
Aglais urticae,54.07833556,27
Aglais urticae,53.75330691,26
Aglais urticae,53.95019779,26
Aglais urticae,53.75330691,26
Aglais urticae,53.75330691,26
Aglais urticae,53.7205998,24
Aglais urticae,53.75935935,23
Aglais urticae,53.41403,22
Aglais urticae,53.57248875,45
Aglais urticae,53.74838031,27
Aglais urticae,53.51784349,27
Aglais urticae,53.75330691,17
Aglais urticae,53.65157052,16
Aglais urticae,53.65157052,16
Aglais urticae,53.65157052,16
Aglais urticae,53.75330691,14
Aglais urticae,53.75330691,14
Aglais urticae,53.75330691,14
Aglais urticae,53.75330691,13
Aglais urticae,53.75330691,13
Aglais urticae,53.63422269,13
Aglais urticae,53.66083832,13
Aglais urticae,53.75330691,13
Aglais urticae,53.66083832,13
Aglais urticae,53.75330691,12
Aglais urticae,53.75330691,12
Aglais urticae,53.49887788,19
Aglais urticae,53.49784407,19
Aglais urticae,54.32059225,53
Aglais urticae,53.69879084,19
Aglais urticae,54.1991385,40
Aglais urticae,53.75330691,40
Aglais urticae,53.75330691,39
Aglais urticae,54.38796976,31
Aglais urticae,53.75330691,38
Aglais urticae,53.75330691,38
Aglais urticae,53.75330691,37
Aglais urticae,53.75330691,36
Aglais urticae,54.16232177,36
Aglais urticae,54.15311305,36
Aglais urticae,54.15288552,36
Aglais urticae,54.15265605,36
Aglais urticae,54.14344178,36
Aglais urticae,53.89778116,36
Aglais urticae,53.75330691,36
Aglais urticae,53.75330691,36
Aglais urticae,53.75099596,35
Aglais urticae,53.75330691,35
