"hectad","tetrad","to 1929","1930 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","hectadstatus"
"B70","B70L",0,0,0,1,1,0,"n"
"B71","B71B",0,0,0,0,0,1,"n"
"B71","B71C",0,0,0,0,0,1,"n"
"B71","B71D",0,0,0,1,0,0,"n"
"B72","B72R",0,0,0,0,1,1,"n"
"B72","B72T",0,0,0,0,0,1,"n"
"B72","B72W",0,0,0,0,1,1,"n"
"B72","B72X",0,0,0,0,1,1,"n"
"B72","B72Y",0,0,0,0,0,1,"n"
"B82","B82C",0,0,0,1,0,0,"n"
"B82","B82D",0,0,0,1,0,0,"n"
"B82","B82E",0,0,0,1,1,0,"n"
"B83","B83A",0,0,0,0,0,1,"n"
"B93","B93X",0,0,0,0,0,1,"n"
"B93","B93Y",0,0,0,1,1,1,"n"
"C14","C14Q",0,0,0,0,0,1,"n"
"C63","C63U",0,0,0,1,0,0,"n"
"C63","C63X",0,0,0,1,0,0,"n"
"C63","C63Y",0,0,0,1,0,0,"n"
"C64","C64I",0,0,0,0,1,0,"n"
"C73","C73D",0,0,0,1,0,0,"n"
"C73","C73H",0,0,1,1,0,0,"n"
"C73","C73I",0,0,1,1,0,0,"n"
"C73","C73L",0,0,0,0,0,1,"n"
"C73","C73X",0,0,1,1,0,0,"n"
"C73","C73Y",1,0,1,0,0,0,"n"
"D04","D04G",0,0,0,0,0,1,"n"
"D04","D04H",1,1,0,1,0,1,"n"
"D04","D04W",1,0,1,1,1,0,"n"
"D13","D13U",0,0,0,1,0,0,"n"
"D14","D14K",1,0,1,0,0,0,"n"
"D14","D14L",0,0,0,1,0,0,"n"
"D14","D14Q",0,0,0,1,0,1,"n"
"D14","D14R",0,0,0,1,0,0,"n"
"D14","D14V",0,0,0,1,0,1,"n"
"D14","D14W",0,0,1,1,0,1,"n"
"D15","D15L",0,0,0,0,0,1,"n"
"D22","D22H",1,0,0,0,0,0,"n"
"D23","D23N",0,0,0,0,0,1,"n"
"D24","D24A",0,0,0,1,0,1,"n"
"D40","D40G",0,1,0,1,1,1,"n"
"F52","F52R",0,0,0,1,0,0,"n"
"F60","F60N",0,1,1,0,0,0,"n"
"F60","F60Z",0,0,0,1,0,0,"n"
"F61","F61J",0,0,0,0,1,0,"n"
"F62","F62A",0,0,0,1,0,0,"n"
"F62","F62F",0,0,0,1,0,1,"n"
"F62","F62G",0,0,0,1,0,0,"n"
"F62","F62J",0,0,0,0,0,1,"n"
"F62","F62P",0,0,0,1,0,0,"n"
"F63","F63K",0,0,0,0,0,1,"n"
"F63","F63L",0,0,0,1,1,0,"n"
"F63","F63M",0,0,0,1,0,0,"n"
"F63","F63Q",0,0,0,1,0,0,"n"
"F63","F63R",0,0,0,1,1,0,"n"
"F63","F63S",1,0,0,0,0,0,"n"
"F70","F70E",0,0,0,1,0,0,"n"
"F71","F71A",0,0,0,1,0,0,"n"
"F84","F84A",0,0,0,0,0,1,"n"
"G01","G01U",0,0,0,1,0,0,"n"
"G02","G02W",0,0,0,1,0,1,"n"
"G11","G11L",0,0,0,0,0,1,"n"
"G11","G11M",0,0,0,0,0,1,"n"
"G20","G20C",0,0,0,1,0,0,"n"
"G20","G20F",0,0,0,0,0,1,"n"
"G20","G20H",0,0,0,0,0,1,"n"
"G20","G20J",0,0,0,0,0,1,"n"
"G20","G20W",0,0,0,0,0,1,"n"
"G21","G21M",0,0,0,0,0,1,"n"
"G22","G22P",0,0,0,0,0,1,"n"
"G22","G22U",0,0,0,1,0,0,"n"
"G22","G22Y",0,0,0,0,0,1,"n"
"G30","G30P",0,0,0,0,0,1,"n"
"G30","G30U",0,0,0,0,0,1,"n"
"G31","G31K",0,0,0,0,1,1,"n"
"G31","G31Q",0,0,0,0,0,1,"n"
"G31","G31X",0,0,0,1,1,1,"n"
"G32","G32A",0,0,0,1,0,0,"n"
"G32","G32H",0,0,0,0,0,1,"n"
"G32","G32J",0,0,0,1,0,0,"n"
"G32","G32K",0,0,0,0,0,1,"n"
"G32","G32T",0,0,0,0,1,0,"n"
"G32","G32Y",0,0,0,0,0,1,"n"
"G33","G33G",0,0,0,0,0,1,"n"
"G33","G33J",0,0,0,0,0,1,"n"
"G33","G33M",0,0,0,0,0,1,"n"
"G33","G33W",0,0,0,1,1,1,"n"
"G33","G33Y",0,0,0,1,0,0,"n"
"G41","G41A",0,0,0,0,0,1,"n"
"G42","G42C",0,0,0,0,0,1,"n"
"G42","G42I",1,0,0,1,0,0,"n"
"G42","G42P",0,0,0,0,0,1,"n"
"G43","G43D",0,0,0,0,0,1,"n"
"G43","G43V",0,0,0,0,0,1,"n"
"G43","G43X",0,0,0,0,0,1,"n"
"G48","G48Q",0,0,0,1,0,0,"n"
"G50","G50Z",0,0,0,1,0,0,"n"
"G51","G51P",0,0,0,1,0,1,"n"
"G51","G51V",0,0,0,1,0,0,"n"
