"hectad","tetrad","to 1929","1930 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","hectadstatus"
"B70","B70E",0,0,0,0,1,0,"n"
"B70","B70L",0,0,0,0,0,1,"n"
"B70","B70Q",0,0,0,1,0,0,"n"
"B70","B70V",0,0,0,1,0,0,"n"
"B70","B70Z",0,0,0,1,0,0,"n"
"B71","B71B",0,0,0,0,0,1,"n"
"B71","B71C",0,0,0,0,0,1,"n"
"B72","B72X",0,0,0,0,1,0,"n"
"B72","B72Z",0,0,0,0,1,0,"n"
"B82","B82B",0,0,0,0,1,0,"n"
"B82","B82C",0,0,0,1,0,0,"n"
"B82","B82D",0,0,0,1,1,0,"n"
"B82","B82E",0,0,0,1,1,0,"n"
"B84","B84N",0,0,0,0,0,1,"n"
"B90","B90A",0,0,0,1,0,0,"n"
"B91","B91J",0,0,0,0,0,1,"n"
"B92","B92A",0,0,0,0,0,1,"n"
"B93","B93X",0,0,0,0,0,1,"n"
"B93","B93Y",0,0,0,0,0,1,"n"
"B93","B93Z",0,0,0,0,0,1,"n"
"C02","C02G",0,0,0,0,0,1,"n"
"C03","C03D",0,0,0,0,0,1,"n"
"C03","C03N",0,0,0,0,0,1,"n"
"C04","C04V",0,0,0,0,0,1,"n"
"C13","C13X",0,0,0,0,1,0,"n"
"C14","C14B",0,0,0,0,0,1,"n"
"C14","C14G",0,0,0,1,0,0,"n"
"C32","C32C",0,0,0,0,1,0,"n"
"C50","C50F",0,0,0,0,1,0,"n"
"C54","C54Y",0,0,0,1,0,0,"n"
"C55","C55C",0,0,0,0,0,1,"n"
"C63","C63W",0,0,0,0,0,1,"n"
"C63","C63Y",0,0,0,0,0,1,"n"
"C70","C70E",0,0,0,0,1,0,"n"
"C70","C70G",0,0,0,1,1,0,"n"
"C70","C70H",0,0,0,0,0,1,"n"
"C70","C70I",0,0,0,0,0,1,"n"
"C70","C70J",0,0,0,0,1,1,"n"
"C70","C70L",0,0,0,0,1,0,"n"
"C70","C70N",0,0,0,0,0,1,"n"
"C70","C70P",0,0,0,1,0,0,"n"
"C70","C70T",0,0,0,1,0,0,"n"
"C70","C70U",0,0,0,1,0,0,"n"
"C70","C70Y",0,0,0,1,0,0,"n"
"C71","C71B",0,0,0,0,1,0,"n"
"C71","C71C",0,0,0,1,0,0,"n"
"C71","C71I",0,0,0,1,0,0,"n"
"C71","C71M",0,0,0,0,1,0,"n"
"C71","C71Q",0,0,0,0,0,1,"n"
"C71","C71S",1,0,1,0,1,1,"n"
"C71","C71V",0,0,0,1,0,1,"n"
"C72","C72G",0,0,0,0,0,1,"n"
"C72","C72H",0,0,0,1,0,0,"n"
"C72","C72L",0,0,0,0,1,0,"n"
"C72","C72N",1,0,0,0,0,0,"n"
"C72","C72R",0,0,0,1,0,0,"n"
"C73","C73A",0,0,0,0,0,1,"n"
"C73","C73D",0,0,0,0,0,1,"n"
"C73","C73G",0,0,0,0,1,0,"n"
"C73","C73H",0,0,0,0,0,1,"n"
"C73","C73I",0,0,1,0,0,0,"n"
"C73","C73X",1,1,0,0,0,0,"n"
"C80","C80B",0,0,0,0,0,1,"n"
"C80","C80E",0,0,0,0,1,0,"n"
"C83","C83D",0,0,0,0,0,1,"n"
"C83","C83E",0,0,0,0,1,0,"n"
"C84","C84K",0,0,0,1,0,1,"n"
"C94","C94G",0,0,0,1,0,0,"n"
"C94","C94M",0,0,0,0,0,1,"n"
"D01","D01C",0,0,0,0,0,1,"n"
"D01","D01E",0,0,0,0,1,0,"n"
"D02","D02W",0,0,0,0,0,1,"n"
"D04","D04H",0,0,1,0,0,0,"n"
"D04","D04L",0,0,0,0,0,1,"n"
"D04","D04R",0,0,0,0,0,1,"n"
"D05","D05V",0,0,0,1,0,1,"n"
"D11","D11L",0,0,0,1,0,0,"n"
"D12","D12B",0,0,0,1,0,0,"n"
"D12","D12F",0,0,0,0,0,1,"n"
"D12","D12I",0,0,0,1,0,0,"n"
"D12","D12J",0,0,0,1,1,0,"n"
"D12","D12K",0,0,0,1,0,0,"n"
"D12","D12Q",0,0,0,1,1,0,"n"
"D12","D12R",0,0,1,0,0,0,"n"
"D12","D12S",0,0,0,1,0,1,"n"
"D12","D12T",0,0,0,1,0,1,"n"
"D12","D12W",0,0,1,1,1,1,"n"
"D12","D12X",0,0,0,0,0,1,"n"
"D12","D12Y",0,0,0,0,0,1,"n"
"D12","D12Z",0,0,0,1,0,0,"n"
"D13","D13D",0,0,0,0,0,1,"n"
"D13","D13F",0,0,0,0,1,0,"n"
"D13","D13U",0,0,0,1,0,0,"n"
"D14","D14F",0,0,0,1,0,0,"n"
"D14","D14L",0,0,0,1,0,0,"n"
"D14","D14N",0,0,1,0,1,0,"n"
"D14","D14P",0,0,1,0,0,1,"n"
"D14","D14Q",0,0,0,1,0,0,"n"
"D14","D14R",0,0,0,1,0,0,"n"
"D14","D14W",0,0,0,1,0,1,"n"
"D15","D15B",0,0,0,0,0,1,"n"
"D15","D15L",0,0,0,0,0,1,"n"
"D15","D15Q",0,0,1,0,0,0,"n"
"D20","D20I",0,0,0,0,1,0,"n"
"D20","D20L",0,0,0,1,0,0,"n"
"D20","D20N",0,0,0,0,0,1,"n"
"D20","D20P",0,0,0,0,0,1,"n"
"D20","D20T",0,0,0,0,1,0,"n"
"D20","D20V",0,0,0,0,0,1,"n"
"D20","D20Z",0,0,0,0,0,1,"n"
"D21","D21A",0,0,0,0,1,1,"n"
"D21","D21E",0,0,0,0,1,0,"n"
"D21","D21F",0,0,1,0,0,0,"n"
"D21","D21G",0,0,1,0,0,0,"n"
"D21","D21H",0,0,0,0,1,0,"n"
"D21","D21K",0,0,0,1,0,1,"n"
"D21","D21N",0,0,0,0,1,1,"n"
"D21","D21P",0,0,0,0,1,1,"n"
"D21","D21R",0,0,0,1,0,0,"n"
"D21","D21T",0,0,0,0,1,0,"n"
"D21","D21U",0,0,1,1,0,0,"n"
"D22","D22B",0,0,0,0,1,0,"n"
"D22","D22C",0,0,0,0,1,0,"n"
"D22","D22F",0,0,0,0,1,0,"n"
"D22","D22G",0,0,0,0,1,0,"n"
"D22","D22H",0,0,0,0,1,0,"n"
"D22","D22K",0,0,0,1,0,0,"n"
"D22","D22P",0,0,0,0,0,1,"n"
"D22","D22Q",0,0,0,0,1,0,"n"
"D22","D22R",1,0,0,0,0,0,"n"
"D22","D22V",0,0,0,0,1,0,"n"
"D22","D22W",0,0,0,0,1,0,"n"
"D23","D23A",0,0,0,1,0,0,"n"
"D23","D23C",0,0,0,1,0,0,"n"
"D23","D23G",0,0,0,0,0,1,"n"
"D23","D23I",0,0,0,0,0,1,"n"
"D23","D23N",0,0,0,0,0,1,"n"
"D30","D30B",0,0,0,0,1,0,"n"
"D30","D30C",0,0,0,0,1,1,"n"
"D30","D30D",0,0,0,0,1,1,"n"
"D30","D30E",0,0,0,0,1,1,"n"
"D30","D30J",0,0,0,1,0,1,"n"
"D30","D30P",0,0,1,0,0,0,"n"
"D31","D31C",1,0,0,0,0,0,"n"
"D40","D40G",0,0,0,1,1,1,"n"
"F50","F50S",0,0,0,0,0,1,"n"
"F60","F60C",0,0,0,0,0,1,"n"
"F60","F60M",0,0,0,1,0,0,"n"
"F61","F61E",0,0,0,0,0,1,"n"
"F61","F61J",0,0,0,0,0,1,"n"
"F62","F62A",0,0,0,0,0,1,"n"
"F62","F62J",0,0,0,0,0,1,"n"
"F62","F62M",0,0,0,0,0,1,"n"
"F62","F62P",0,0,0,1,0,1,"n"
"F63","F63K",0,0,0,0,0,1,"n"
"F63","F63L",0,0,0,1,0,0,"n"
"F63","F63M",0,0,0,1,0,1,"n"
"F63","F63N",0,0,0,0,0,1,"n"
"F64","F64V",0,0,0,0,0,1,"n"
"F70","F70E",0,0,0,1,1,0,"n"
"F72","F72J",0,0,0,0,0,1,"n"
"F72","F72K",0,0,1,0,0,0,"n"
"F73","F73E",0,0,0,0,0,1,"n"
"F73","F73W",0,0,0,0,0,1,"n"
"F74","F74A",0,0,0,0,0,1,"n"
"F82","F82H",0,0,0,0,0,1,"n"
"F82","F82I",0,0,0,0,0,1,"n"
"F83","F83X",0,0,1,0,0,0,"n"
"F84","F84A",0,0,0,0,0,1,"n"
"F84","F84B",0,0,0,0,0,1,"n"
"F84","F84F",0,0,0,1,0,0,"n"
"F84","F84W",0,0,0,0,0,1,"n"
"F92","F92A",0,0,0,0,0,1,"n"
"G01","G01P",0,0,0,1,0,0,"n"
"G04","G04K",0,0,0,0,0,1,"n"
"G11","G11M",0,0,0,0,0,1,"n"
"G11","G11N",0,0,0,0,0,1,"n"
"G20","G20B",0,0,0,0,0,1,"n"
"G20","G20C",0,0,0,1,0,0,"n"
"G20","G20D",0,0,0,0,0,1,"n"
"G20","G20H",0,0,0,0,0,1,"n"
"G20","G20J",0,0,0,0,0,1,"n"
"G20","G20K",0,0,0,0,0,1,"n"
"G20","G20L",0,0,0,0,0,1,"n"
"G20","G20W",0,0,0,0,0,1,"n"
"G21","G21B",0,0,0,0,1,0,"n"
"G31","G31X",0,0,0,0,0,1,"n"
"G42","G42L",0,0,0,0,0,1,"n"
"G42","G42P",0,0,0,0,1,1,"n"
"G48","G48Q",0,0,0,1,0,0,"n"
"G52","G52J",0,0,0,0,1,0,"n"
"G52","G52L",0,0,0,0,0,1,"n"
"G52","G52Z",0,0,0,0,0,1,"n"
"G62","G62N",0,0,0,0,0,1,"n"
"G62","G62P",0,0,0,1,0,0,"n"
"G62","G62S",0,0,0,1,0,0,"n"
