SPECIES,YEAR,BROOD,DAYNUM,FITTED
2,1976-2021,0,-24,0.272693063
2,1976-2021,0,-23,0.277582498
2,1976-2021,0,-22,0.282559755
2,1976-2021,0,-21,0.287625927
2,1976-2021,0,-20,0.2927821
2,1976-2021,0,-19,0.298029355
2,1976-2021,0,-18,0.303368763
2,1976-2021,0,-17,0.308801383
2,1976-2021,0,-16,0.314328268
2,1976-2021,0,-15,0.319950455
2,1976-2021,0,-14,0.32566897
2,1976-2021,0,-13,0.331484823
2,1976-2021,0,-12,0.337399009
2,1976-2021,0,-11,0.343412506
2,1976-2021,0,-10,0.349526273
2,1976-2021,0,-9,0.355741101
2,1976-2021,0,-8,0.362057141
2,1976-2021,0,-7,0.368474316
2,1976-2021,0,-6,0.374992455
2,1976-2021,0,-5,0.381611292
2,1976-2021,0,-4,0.388330462
2,1976-2021,0,-3,0.395149496
2,1976-2021,0,-2,0.402067814
2,1976-2021,0,-1,0.409084727
2,1976-2021,0,0,0.416199425
2,1976-2021,0,1,0.42341098
2,1976-2021,0,2,0.430718216
2,1976-2021,0,3,0.43811934
2,1976-2021,0,4,0.445612405
2,1976-2021,0,5,0.453195883
2,1976-2021,0,6,0.460868252
2,1976-2021,0,7,0.468627823
2,1976-2021,0,8,0.476472811
2,1976-2021,0,9,0.484401502
2,1976-2021,0,10,0.492412173
2,1976-2021,0,11,0.500503271
2,1976-2021,0,12,0.508673241
2,1976-2021,0,13,0.516920562
2,1976-2021,0,14,0.525243681
2,1976-2021,0,15,0.533641076
2,1976-2021,0,16,0.54211125
2,1976-2021,0,17,0.550652969
2,1976-2021,0,18,0.559265069
2,1976-2021,0,19,0.567946524
2,1976-2021,0,20,0.576696359
2,1976-2021,0,21,0.585513764
2,1976-2021,0,22,0.594397999
2,1976-2021,0,23,0.603348492
2,1976-2021,0,24,0.612364773
2,1976-2021,0,25,0.621446637
2,1976-2021,0,26,0.630593983
2,1976-2021,0,27,0.639806842
2,1976-2021,0,28,0.649085311
2,1976-2021,0,29,0.658429577
2,1976-2021,0,30,0.667839895
2,1976-2021,0,31,0.677316651
2,1976-2021,0,32,0.686860315
2,1976-2021,0,33,0.696471461
2,1976-2021,0,34,0.706150741
2,1976-2021,0,35,0.715898908
2,1976-2021,0,36,0.725716786
2,1976-2021,0,37,0.735605265
2,1976-2021,0,38,0.745565285
2,1976-2021,0,39,0.755597815
2,1976-2021,0,40,0.765703867
2,1976-2021,0,41,0.775884476
2,1976-2021,0,42,0.78614071
2,1976-2021,0,43,0.79647362
2,1976-2021,0,44,0.806884275
2,1976-2021,0,45,0.817373704
2,1976-2021,0,46,0.827942931
2,1976-2021,0,47,0.838592857
2,1976-2021,0,48,0.84932435
2,1976-2021,0,49,0.860138166
2,1976-2021,0,50,0.871035006
2,1976-2021,0,51,0.882015374
2,1976-2021,0,52,0.893079654
2,1976-2021,0,53,0.904227891
2,1976-2021,0,54,0.91545996
2,1976-2021,0,55,0.926775401
2,1976-2021,0,56,0.938173575
2,1976-2021,0,57,0.949653498
2,1976-2021,0,58,0.961213966
2,1976-2021,0,59,0.972853317
2,1976-2021,0,60,0.984569625
2,1976-2021,0,61,0.996360513
2,1976-2021,0,62,1.008223293
2,1976-2021,0,63,1.020154699
2,1976-2021,0,64,1.032151085
2,1976-2021,0,65,1.044208179
2,1976-2021,0,66,1.056321281
2,1976-2021,0,67,1.068484986
2,1976-2021,0,68,1.080693421
2,1976-2021,0,69,1.092939988
2,1976-2021,0,70,1.105217636
2,1976-2021,0,71,1.117518771
2,1976-2021,0,72,1.129835368
2,1976-2021,0,73,1.142158783
2,1976-2021,0,74,1.154479934
2,1976-2021,0,75,1.166789187
2,1976-2021,0,76,1.179076504
2,1976-2021,0,77,1.191331398
2,1976-2021,0,78,1.203543018
2,1976-2021,0,79,1.215700138
2,1976-2021,0,80,1.227791161
2,1976-2021,0,81,1.239804003
2,1976-2021,0,82,1.251726202
2,1976-2021,0,83,1.263544894
2,1976-2021,0,84,1.275246926
2,1976-2021,0,85,1.286818996
2,1976-2021,0,86,1.298247691
2,1976-2021,0,87,1.30951983
2,1976-2021,0,88,1.320622206
2,1976-2021,0,89,1.331541696
2,1976-2021,0,90,1.342265071
2,1976-2021,0,91,1.352778934
2,1976-2021,0,92,1.363069799
2,1976-2021,0,93,1.373124286
2,1976-2021,0,94,1.382929095
