SPECIES,YEAR,BROOD,DAYNUM,FITTED
2,2021,0,-24,0.223021644
2,2021,0,-23,0.227195938
2,2021,0,-22,0.231448508
2,2021,0,-21,0.235780367
2,2021,0,-20,0.240192518
2,2021,0,-19,0.24468596
2,2021,0,-18,0.249261682
2,2021,0,-17,0.253920661
2,2021,0,-16,0.258663867
2,2021,0,-15,0.263492252
2,2021,0,-14,0.26840676
2,2021,0,-13,0.273408316
2,2021,0,-12,0.278497829
2,2021,0,-11,0.283676193
2,2021,0,-10,0.28894428
2,2021,0,-9,0.2943028
2,2021,0,-8,0.299751849
2,2021,0,-7,0.305291296
2,2021,0,-6,0.31092092
2,2021,0,-5,0.316640401
2,2021,0,-4,0.322449318
2,2021,0,-3,0.328347147
2,2021,0,-2,0.334333251
2,2021,0,-1,0.340406879
2,2021,0,0,0.346567161
2,2021,0,1,0.352813105
2,2021,0,2,0.359143445
2,2021,0,3,0.365556196
2,2021,0,4,0.372049257
2,2021,0,5,0.378621255
2,2021,0,6,0.385270972
2,2021,0,7,0.391997302
2,2021,0,8,0.398799082
2,2021,0,9,0.405675003
2,2021,0,10,0.412623638
2,2021,0,11,0.41964346
2,2021,0,12,0.426732831
2,2021,0,13,0.433889997
2,2021,0,14,0.441113129
2,2021,0,15,0.448400451
2,2021,0,16,0.455750154
2,2021,0,17,0.463160449
2,2021,0,18,0.470629553
2,2021,0,19,0.478155896
2,2021,0,20,0.485738009
2,2021,0,21,0.493374773
2,2021,0,22,0.501065163
2,2021,0,23,0.508808234
2,2021,0,24,0.516603172
2,2021,0,25,0.524449663
2,2021,0,26,0.53234757
2,2021,0,27,0.540296906
2,2021,0,28,0.548297742
2,2021,0,29,0.556350153
2,2021,0,30,0.564454241
2,2021,0,31,0.572610137
2,2021,0,32,0.580818001
2,2021,0,33,0.589077989
2,2021,0,34,0.597390276
2,2021,0,35,0.605755041
2,2021,0,36,0.614172475
2,2021,0,37,0.622642772
2,2021,0,38,0.63116612
2,2021,0,39,0.639742631
2,2021,0,40,0.648372386
2,2021,0,41,0.657055371
2,2021,0,42,0.665791515
2,2021,0,43,0.674580555
2,2021,0,44,0.683422163
2,2021,0,45,0.692315924
2,2021,0,46,0.701261401
2,2021,0,47,0.710258166
2,2021,0,48,0.719305742
2,2021,0,49,0.728403454
2,2021,0,50,0.737550459
2,2021,0,51,0.74674549
2,2021,0,52,0.755987132
2,2021,0,53,0.765273911
2,2021,0,54,0.774604304
2,2021,0,55,0.783976738
2,2021,0,56,0.793389509
2,2021,0,57,0.802840531
2,2021,0,58,0.812327456
2,2021,0,59,0.821847405
2,2021,0,60,0.831397203
2,2021,0,61,0.84097322
2,2021,0,62,0.85057143
2,2021,0,63,0.860186915
2,2021,0,64,0.869814271
2,2021,0,65,0.879447415
2,2021,0,66,0.889079763
2,2021,0,67,0.898703828
2,2021,0,68,0.908311547
2,2021,0,69,0.917893973
2,2021,0,70,0.927441541
2,2021,0,71,0.936943686
2,2021,0,72,0.946389259
2,2021,0,73,0.955766431
2,2021,0,74,0.965062755
2,2021,0,75,0.974264657
2,2021,0,76,0.98335792
2,2021,0,77,0.992327624
2,2021,0,78,1.001158406
2,2021,0,79,1.009834533
2,2021,0,80,1.018339945
2,2021,0,81,1.026658263
2,2021,0,82,1.03477277
2,2021,0,83,1.042666254
2,2021,0,84,1.050321681
2,2021,0,85,1.057723693
2,2021,0,86,1.064857681
2,2021,0,87,1.071710499
2,2021,0,88,1.078269603
2,2021,0,89,1.084523315
2,2021,0,90,1.090460387
2,2021,0,91,1.096070185
2,2021,0,92,1.101342764
2,2021,0,93,1.106269961
2,2021,0,94,1.110844826
2,2021,0,95,1.115062935
2,2021,0,96,1.118920825
2,2021,0,97,1.122415596
2,2021,0,98,1.125544826
2,2021,0,99,1.12830669
2,2021,0,100,1.130700166
2,2021,0,101,1.132726096
2,2021,0,102,1.134386205
2,2021,0,103,1.135683109
2,2021,0,104,1.136619872
2,2021,0,105,1.137199714
2,2021,0,106,1.13742613
2,2021,0,107,1.137302862
2,2021,0,108,1.136833956
2,2021,0,109,1.136023776
2,2021,0,110,1.134876974
2,2021,0,111,1.133398429
2,2021,0,112,1.131593185
2,2021,0,113,1.12946616
2,2021,0,114,1.127022194
2,2021,0,115,1.124265434
2,2021,0,116,1.121199933
2,2021,0,117,1.117829557
2,2021,0,118,1.114158221
2,2021,0,119,1.110189736
2,2021,0,120,1.105927937
2,2021,0,121,1.101376383
2,2021,0,122,1.096538663
2,2021,0,123,1.091418286
2,2021,0,124,1.086018836
2,2021,0,125,1.080343824
2,2021,0,126,1.074396738
2,2021,0,127,1.068180598
2,2021,0,128,1.061698439
2,2021,0,129,1.054953313
2,2021,0,130,1.04794843
2,2021,0,131,1.0406871
2,2021,0,132,1.033172867
2,2021,0,133,1.025409607
2,2021,0,134,1.017401483
2,2021,0,135,1.00915299
2,2021,0,136,1.000668896
2,2021,0,137,0.991954267
2,2021,0,138,0.983014462
2,2021,0,139,0.973855273
2,2021,0,140,0.964482799
2,2021,0,141,0.954903569
2,2021,0,142,0.945124403
2,2021,0,143,0.935152543
2,2021,0,144,0.924995501
2,2021,0,145,0.914661183
2,2021,0,146,0.904158031
2,2021,0,147,0.893496014
2,2021,0,148,0.882685714
2,2021,0,149,0.871738714
2,2021,0,150,0.860666866
2,2021,0,151,0.849482406
2,2021,0,152,0.838197552
2,2021,0,153,0.826824534
2,2021,0,154,0.815375354
2,2021,0,155,0.803861648
2,2021,0,156,0.792294789
2,2021,0,157,0.780686042
2,2021,0,158,0.769046467
2,2021,0,159,0.757387057
2,2021,0,160,0.745718703
2,2021,0,161,0.734052674
2,2021,0,162,0.722400075
2,2021,0,163,0.710771887
2,2021,0,164,0.699178666
2,2021,0,165,0.687630379
2,2021,0,166,0.676136473
2,2021,0,167,0.664705857
2,2021,0,168,0.653346987
2,2021,0,169,0.642067975
2,2021,0,170,0.630876526
2,2021,0,171,0.61977996
2,2021,0,172,0.608785159
2,2021,0,173,0.597898508
2,2021,0,174,0.587125963
2,2021,0,175,0.576473107
2,2021,0,176,0.565945086
2,2021,0,177,0.555546499
2,2021,0,178,0.545281501
2,2021,0,179,0.535153729
2,2021,0,180,0.525166362
2,2021,0,181,0.515321915
2,2021,0,182,0.505622647
2,2021,0,183,0.496070963
2,2021,0,184,0.486669083
2,2021,0,185,0.477418944
2,2021,0,186,0.468322212
2,2021,0,187,0.459379961
2,2021,0,188,0.450591738
2,2021,0,189,0.441956658
2,2021,0,190,0.433473754
2,2021,0,191,0.425141982
2,2021,0,192,0.416960227
2,2021,0,193,0.408927305
2,2021,0,194,0.401041969
2,2021,0,195,0.393302913
2,2021,0,196,0.385708773
2,2021,0,197,0.378258135
2,2021,0,198,0.370949538
2,2021,0,199,0.363781477
2,2021,0,200,0.356752404
4,2021,0,-24,0.205677206
4,2021,0,-23,0.217276382
4,2021,0,-22,0.229530733
4,2021,0,-21,0.242474715
4,2021,0,-20,0.2561443
4,2021,0,-19,0.270577004
4,2021,0,-18,0.285811931
4,2021,0,-17,0.301889795
4,2021,0,-16,0.318852958
4,2021,0,-15,0.33674545
4,2021,0,-14,0.355612992
4,2021,0,-13,0.375503014
4,2021,0,-12,0.396464668
4,2021,0,-11,0.418548835
4,2021,0,-10,0.441808123
4,2021,0,-9,0.466294932
4,2021,0,-8,0.49205477
4,2021,0,-7,0.519130395
4,2021,0,-6,0.547563185
4,2021,0,-5,0.577392723
4,2021,0,-4,0.608656356
4,2021,0,-3,0.641388721
4,2021,0,-2,0.675621226
4,2021,0,-1,0.711381511
4,2021,0,0,0.748692861
4,2021,0,1,0.787573601
4,2021,0,2,0.828031765
4,2021,0,3,0.870048444
4,2021,0,4,0.913590527
4,2021,0,5,0.958623613
4,2021,0,6,1.005102935
4,2021,0,7,1.052965518
4,2021,0,8,1.102132487
4,2021,0,9,1.152510152
4,2021,0,10,1.203988293
4,2021,0,11,1.256438221
4,2021,0,12,1.309712845
4,2021,0,13,1.363646357
4,2021,0,14,1.418053594
4,2021,0,15,1.472728495
4,2021,0,16,1.527445055
4,2021,0,17,1.581957092
4,2021,0,18,1.635999839
4,2021,0,19,1.68929145
4,2021,0,20,1.741537605
4,2021,0,21,1.792444105
4,2021,0,22,1.841712765
4,2021,0,23,1.889048996
4,2021,0,24,1.934167716
4,2021,0,25,1.976826883
4,2021,0,26,2.016804215
4,2021,0,27,2.053897918
4,2021,0,28,2.087921082
4,2021,0,29,2.118701635
4,2021,0,30,2.146082596
4,2021,0,31,2.169922327
4,2021,0,32,2.190097746
4,2021,0,33,2.206509664
4,2021,0,34,2.219080634
4,2021,0,35,2.227756668
4,2021,0,36,2.232504655
4,2021,0,37,2.233309754
4,2021,0,38,2.230177794
4,2021,0,39,2.223136965
4,2021,0,40,2.212237582
4,2021,0,41,2.197554988
4,2021,0,42,2.179186512
4,2021,0,43,2.15725426
4,2021,0,44,2.13189963
4,2021,0,45,2.103283578
4,2021,0,46,2.071581988
4,2021,0,47,2.036984824
4,2021,0,48,1.999693172
4,2021,0,49,1.959919762
4,2021,0,50,1.917884231
4,2021,0,51,1.873811753
4,2021,0,52,1.827929364
4,2021,0,53,1.780463408
4,2021,0,54,1.731638108
4,2021,0,55,1.681673744
4,2021,0,56,1.630785591
4,2021,0,57,1.579182214
4,2021,0,58,1.527065776
4,2021,0,59,1.474633051
4,2021,0,60,1.422074099
4,2021,0,61,1.369575677
4,2021,0,62,1.317316558
4,2021,0,63,1.265471035
4,2021,0,64,1.214201341
4,2021,0,65,1.16365631
4,2021,0,66,1.113970118
4,2021,0,67,1.065262374
4,2021,0,68,1.017638244
4,2021,0,69,0.971189215
4,2021,0,70,0.925992831
4,2021,0,71,0.882112444
4,2021,0,72,0.839598687
4,2021,0,73,0.798489797
4,2021,0,74,0.758813015
4,2021,0,75,0.720584617
4,2021,0,76,0.683811692
4,2021,0,77,0.64849208
4,2021,0,78,0.614616632
4,2021,0,79,0.582169872
4,2021,0,80,0.551131203
4,2021,0,81,0.521475389
4,2021,0,82,0.493173535
4,2021,0,83,0.466193722
4,2021,0,84,0.440501149
4,2021,0,85,0.416057727
4,2021,0,86,0.392823394
4,2021,0,87,0.370756008
4,2021,0,88,0.349812689
4,2021,0,89,0.329950081
4,2021,0,90,0.31112493
4,2021,0,91,0.293294209
4,2021,0,92,0.276415366
4,2021,0,93,0.260446179
4,2021,0,94,0.245345199
4,2021,0,95,0.231071598
4,2021,0,96,0.217585715
4,2021,0,97,0.204849175
4,2021,0,98,0.19282494
4,2021,0,99,0.18147727
4,2021,0,100,0.17077175
4,2021,0,101,0.160675156
4,2021,0,102,0.151155614
4,2021,0,103,0.142182562
4,2021,0,104,0.133726797
4,2021,0,105,0.125760436
4,2021,0,106,0.118256883
4,2021,0,107,0.111190735
4,2021,0,108,0.104537803
4,2021,0,109,0.098275027
4,2021,0,110,0.0923805
4,2021,0,111,0.086833412
4,2021,0,112,0.081614033
4,2021,0,113,0.076703659
4,2021,0,114,0.072084575
4,2021,0,115,0.067739985
4,2021,0,116,0.063654002
4,2021,0,117,0.059811606
4,2021,0,118,0.056198607
4,2021,0,119,0.052801601
4,2021,0,120,0.049607938
4,2021,0,121,0.046605674
4,2021,0,122,0.043783544
4,2021,0,123,0.041130924
4,2021,0,124,0.038637794
4,2021,0,125,0.03629471
4,2021,0,126,0.034092769
4,2021,0,127,0.032023575
4,2021,0,128,0.030079219
4,2021,0,129,0.028252254
4,2021,0,130,0.026535665
4,2021,0,131,0.024922853
4,2021,0,132,0.023407604
4,2021,0,133,0.02198407
4,2021,0,134,0.020646745
4,2021,0,135,0.019390451
4,2021,0,136,0.018210316
4,2021,0,137,0.017101757
4,2021,0,138,0.016060461
4,2021,0,139,0.015082375
4,2021,0,140,0.014163684
4,2021,0,141,0.013300801
4,2021,0,142,0.012490354
4,2021,0,143,0.011729173
4,2021,0,144,0.011014278
4,2021,0,145,0.010342867
4,2021,0,146,0.009712305
4,2021,0,147,0.009120119
4,2021,0,148,0.00856398
4,2021,0,149,0.008041701
4,2021,0,150,0.007551228
4,2021,0,151,0.007090628
4,2021,0,152,0.006658088
4,2021,0,153,0.006251903
4,2021,0,154,0.005870469
4,2021,0,155,0.005512283
4,2021,0,156,0.005175931
4,2021,0,157,0.004860084
4,2021,0,158,0.004563494
4,2021,0,159,0.00428499
4,2021,0,160,0.004023471
4,2021,0,161,0.003777902
4,2021,0,162,0.003547312
4,2021,0,163,0.003330788
4,2021,0,164,0.003127473
4,2021,0,165,0.002936563
4,2021,0,166,0.002757301
4,2021,0,167,0.002588978
4,2021,0,168,0.002430926
4,2021,0,169,0.002282519
4,2021,0,170,0.00214317
4,2021,0,171,0.002012325
4,2021,0,172,0.001889466
4,2021,0,173,0.001774107
4,2021,0,174,0.001665789
4,2021,0,175,0.001564082
4,2021,0,176,0.001468584
4,2021,0,177,0.001378916
4,2021,0,178,0.001294722
4,2021,0,179,0.001215668
4,2021,0,180,0.00114144
4,2021,0,181,0.001071744
4,2021,0,182,0.001006303
4,2021,0,183,0.000944857
4,2021,0,184,0.000887163
4,2021,0,185,0.000832992
4,2021,0,186,0.000782128
4,2021,0,187,0.000734369
4,2021,0,188,0.000689527
4,2021,0,189,0.000647423
4,2021,0,190,0.00060789
4,2021,0,191,0.00057077
4,2021,0,192,0.000535918
4,2021,0,193,0.000503193
4,2021,0,194,0.000472466
4,2021,0,195,0.000443616
4,2021,0,196,0.000416528
4,2021,0,197,0.000391093
4,2021,0,198,0.000367212
4,2021,0,199,0.000344789
4,2021,0,200,0.000323735
6,2021,0,-24,3.86E-05
6,2021,0,-23,4.14E-05
6,2021,0,-22,4.45E-05
6,2021,0,-21,4.78E-05
6,2021,0,-20,5.13E-05
6,2021,0,-19,5.51E-05
6,2021,0,-18,5.92E-05
6,2021,0,-17,6.36E-05
6,2021,0,-16,6.83E-05
6,2021,0,-15,7.34E-05
6,2021,0,-14,7.88E-05
6,2021,0,-13,8.47E-05
6,2021,0,-12,9.10E-05
6,2021,0,-11,9.77E-05
6,2021,0,-10,0.000104951
6,2021,0,-9,0.000112729
6,2021,0,-8,0.000121083
