"SPECIES" "YEAR" "BROOD" "DAYNUM" "FITTED"
2 "1976-2021" 0 -24 0.272693063322711
2 "1976-2021" 0 -23 0.277582498410322
2 "1976-2021" 0 -22 0.282559755107725
2 "1976-2021" 0 -21 0.287625926779709
2 "1976-2021" 0 -20 0.292782100360656
2 "1976-2021" 0 -19 0.298029355314017
2 "1976-2021" 0 -18 0.303368762554731
2 "1976-2021" 0 -17 0.308801383334193
2 "1976-2021" 0 -16 0.314328268087326
2 "1976-2021" 0 -15 0.319950455241421
2 "1976-2021" 0 -14 0.325668969986407
2 "1976-2021" 0 -13 0.33148482300625
2 "1976-2021" 0 -12 0.337399009171257
2 "1976-2021" 0 -11 0.343412506191065
2 "1976-2021" 0 -10 0.349526273228169
2 "1976-2021" 0 -9 0.355741100650219
2 "1976-2021" 0 -8 0.362057140959415
2 "1976-2021" 0 -7 0.368474315604423
2 "1976-2021" 0 -6 0.374992454528811
2 "1976-2021" 0 -5 0.381611292001461
2 "1976-2021" 0 -4 0.388330462398873
2 "1976-2021" 0 -3 0.395149495945647
2 "1976-2021" 0 -2 0.402067814419921
2 "1976-2021" 0 -1 0.409084726831086
2 "1976-2021" 0 0 0.416199425077584
2 "1976-2021" 0 1 0.42341097959315
2 "1976-2021" 0 2 0.430718216337614
2 "1976-2021" 0 3 0.43811934017732
2 "1976-2021" 0 4 0.445612404698997
2 "1976-2021" 0 5 0.453195883394708
2 "1976-2021" 0 6 0.460868251772036
2 "1976-2021" 0 7 0.468627822709356
2 "1976-2021" 0 8 0.476472811412269
2 "1976-2021" 0 9 0.48440150228337
2 "1976-2021" 0 10 0.492412173109888
2 "1976-2021" 0 11 0.500503270924833
2 "1976-2021" 0 12 0.508673240868118
2 "1976-2021" 0 13 0.516920562236182
2 "1976-2021" 0 14 0.525243681426011
2 "1976-2021" 0 15 0.533641075986597
2 "1976-2021" 0 16 0.542111249991081
2 "1976-2021" 0 17 0.550652968967492
2 "1976-2021" 0 18 0.559265069144607
2 "1976-2021" 0 19 0.567946523676573
2 "1976-2021" 0 20 0.576696358924033
2 "1976-2021" 0 21 0.585513764225712
2 "1976-2021" 0 22 0.594397999170489
2 "1976-2021" 0 23 0.603348491728783
2 "1976-2021" 0 24 0.612364773019108
2 "1976-2021" 0 25 0.62144663655448
2 "1976-2021" 0 26 0.630593983014475
2 "1976-2021" 0 27 0.639806842011531
2 "1976-2021" 0 28 0.649085311496936
2 "1976-2021" 0 29 0.658429576777811
2 "1976-2021" 0 30 0.667839894611481
2 "1976-2021" 0 31 0.677316651441836
2 "1976-2021" 0 32 0.686860315427517
2 "1976-2021" 0 33 0.696471461035258
2 "1976-2021" 0 34 0.706150740799199
2 "1976-2021" 0 35 0.715898907840944
2 "1976-2021" 0 36 0.725716786308686
2 "1976-2021" 0 37 0.735605264542829
2 "1976-2021" 0 38 0.745565284808779
2 "1976-2021" 0 39 0.755597815067856
2 "1976-2021" 0 40 0.765703866872221
2 "1976-2021" 0 41 0.775884475632261
2 "1976-2021" 0 42 0.786140709762493
2 "1976-2021" 0 43 0.796473620286926
2 "1976-2021" 0 44 0.806884274568654
2 "1976-2021" 0 45 0.817373704477176
2 "1976-2021" 0 46 0.827942931089164
2 "1976-2021" 0 47 0.838592857041343
2 "1976-2021" 0 48 0.849324349631675
2 "1976-2021" 0 49 0.860138166101604
2 "1976-2021" 0 50 0.871035005506038
2 "1976-2021" 0 51 0.882015373734334
2 "1976-2021" 0 52 0.893079654115951
2 "1976-2021" 0 53 0.904227891483831
2 "1976-2021" 0 54 0.915459959832631
2 "1976-2021" 0 55 0.926775401234994
2 "1976-2021" 0 56 0.938173574668983
2 "1976-2021" 0 57 0.949653498377576
2 "1976-2021" 0 58 0.961213966050815
2 "1976-2021" 0 59 0.972853317368544
2 "1976-2021" 0 60 0.984569624827492
2 "1976-2021" 0 61 0.99636051269552
2 "1976-2021" 0 62 1.00822329329984
2 "1976-2021" 0 63 1.02015469869848
2 "1976-2021" 0 64 1.03215108522578
2 "1976-2021" 0 65 1.04420817893579
2 "1976-2021" 0 66 1.05632128071761
2 "1976-2021" 0 67 1.06848498602965
2 "1976-2021" 0 68 1.08069342147996
2 "1976-2021" 0 69 1.09293998757724
2 "1976-2021" 0 70 1.10521763609572
2 "1976-2021" 0 71 1.11751877149694
2 "1976-2021" 0 72 1.12983536794974
2 "1976-2021" 0 73 1.14215878334729
2 "1976-2021" 0 74 1.15447993354675
2 "1976-2021" 0 75 1.16678918661946
2 "1976-2021" 0 76 1.17907650387784
2 "1976-2021" 0 77 1.19133139824424
2 "1976-2021" 0 78 1.20354301810087
2 "1976-2021" 0 79 1.21570013783165
2 "1976-2021" 0 80 1.22779116105784
2 "1976-2021" 0 81 1.2398040032947
2 "1976-2021" 0 82 1.2517262024683
2 "1976-2021" 0 83 1.2635448939823
2 "1976-2021" 0 84 1.27524692574224
2 "1976-2021" 0 85 1.28681899647313
2 "1976-2021" 0 86 1.29824769129681
2 "1976-2021" 0 87 1.3095198300725
2 "1976-2021" 0 88 1.32062220577065
